;tweet;retweet;favoritos
49;Os candidatos vitoriosos devem dizer o que farão com o Brasil, não quem perdeu. Não concordo com o reacionarismo cultural e o descompromisso institucional de uns vitoriosos e tampouco com a corrupção sistêmica e com apoio ao arbítrio na Venezuela e em outros países.;291;1346
50;Votei nos candidatos do PSDB. Daqui por diante o importante é obedecer a Constituição e buscar explicar ao povo o que cada um pensa e como será possível fazer. Sem demagogia nem sectarismo. Não sou operador político. Digo o que penso e respeito as diferenças.;202;1659
51;"Segui o debate ontem. Impressões: Bolsonaro, sem voz, vai no embalo da ventania; Haddad, parece que tudo começa e acaba na máscara do Lula; Ciro, charmoso, a biruta leva; Alckmin, experiência e sensatez em momento de exasperação; Marina, um grito parado no ar. O resto é silêncio.";204;1172
52;Soube hoje que XicoGraziano se afastou do PSDB. Decisão dele, naturalmente. Trabalhou comigo, não trabalha mais. Cada um é cada um. Repito: meu voto será em Alckmin.;127;870
53;As fake news não param. Agora inventaran que eu disse que quero aliança com o PT. Mentira.  Voto no Alckmin e espero estar com ele no segundo turno. O resto é imaginação perversa. Sou contra a marcha da insensatez: a radicalzão.;227;1320
54;https://t.co/qTBJo5B7n3;42;240
55;Há um novo Brasil, que os partidos não vêm. A manifestação das mulheres no largo da Batata passou longe deles. As “redes” convocaram e o povo afluiu. Quando despertarão? Sem o encontro do movimento das pessoas com as organizações políticas continuaremos com o país sem rumo.;351;2302
56;Para os maledicentes: o “C”, do Alckmin foi um erro de manuseio e não altera o significado. https://t.co/NZkbH1u99B;43;330
57;Estou em Santiago. Não dei qualquer declaração diferente de apoiar Alkmin. O resto são fake news de robôs ou de pessoas partidárias interessadas em obter apoios para os seus e não para o meu candidato.;110;812
58;Escrevi uma Carta aos eleitores e eleitoras, não aos candidatos ou aos partidos. Há meses repito ser necessário um “centro popular e progressista”. Parece que na conjuntura água mole não racha pedra dura. O que não muda minhas convicções.;236;1445
59;Jantei com Clinton ontem. Que saudades de líderes que ouvem, sabem e atuam. Recordamos os esforços vitoriosos na pacificação Peru/Equador. Falamos sobre as duas Coréias. E das dificuldades da política na era das fake news, valorizando, contudo, a livre expressão de opiniões,;193;1986
60;Enviei carta aos eleitores pedindo sensatez e aliança dos candidatos não radicais. Quem veste o figurino é o Alckmin, só que não se convida para um encontro dizendo “só com este eu falo.”;130;900
61;Meu apoio já expresso é para o Geraldo Alckmin,  em quem quero votar no 2 turno também. Qualquer outra versão é Fake News.;164;743
62;Alckmin ou Alkmin: é ele o candidato em que votarei. Quem se importa com o c, que se você, mas vote nele.;159;900
63;Eleição se ganha no dia. No primeiro turno vota-se no candidato melhor para o povo e o país. Na presente conjuntura só um é experiente, democrata, promove coesão e dá rumo ao país: Alkmin. É em quem votarei. E no segundo turno também.;317;1494
64;O senador Tasso está certo: o ciclo partidário-eleitoral se exauriu. Não há outro ainda. Alkmin poderá levar o país a um novo consenso. Fiéis à democracia e aos nossos compromissos votemos nele para a reconstrução social e econômica do Brasil.;197;975
65;Intriga não ajuda a convencer. No que publiquei ontem está claro queAlkmin é quem pode governar melhor: experiente, honesto, com olho no orçamento e capaz de ouvir.  Meu voto é sabidamente nele. Há tempo para evitar  votar em aventuras ou em desastres anunciados.;202;905
66;O Brasil depende de nossas escolhas. Palavras o vento leva. Realizações marcam. Só com experiência se governa. Sem convicção não se criam caminhos de futuro. Avalie quem junta estas virtudes e vote. O país precisa de coesão e grandeza. Está em nossas mãos construir o futuro.;315;1505
67;Há tempos menciono e critico o ódio que se difunde na sociedade. A facada em Bolsonaro fere a democracia. É inaceitável humana e politicamente.;281;1323
68;Infelizmente o país perde relevância e a campanha eleitoral perde compostura. A esperança é o eleitor perceber que a má escolha cai na cabeça dele, na nossa, na de todos. O país precisa de rumo, emprego, justiça, competência e decência. Cada eleitor faça sua escolha olhando isso.;177;842
69;Conserto, e não concerto, claro.;37;317
70;O Museu Nacional pegou fogo. Parte da memória antropológica sumiu. Ruth tinha mais ligações com os professores de lá que eu. Há quase 20 anos mandei duas vezes verba para concertar o telhado: chovia nas múmias. A primeira se perdeu. Descaso de todos e burocracia de sempre.;215;1377
71;https://t.co/OAFP6rpWO7;31;183
72;Estive ontem em um debate sobre os venezuelanos que buscam refúgio no Brasl. São tantos que Roraima sozinha não pode arcar com os custos e responsabilidades. Não cabe xenofobia. Devemos ser todos solidários.;286;1999
73;@diraholanda Não tenho nem nunca tive apartamentos algum em Paris. É fake new. Se vc puder provar que tenho, passo a seu nome imediatamente.;22;50
74;@diraholanda @m4druga Leia meus Diário: se houve compra não foi minha nem do PSDB. O resto é calúnia de quem não quer crer nos fatos.;1;0
75;@m4druga Leia meus Diários da Presidência e verá que não houve o que vc diz.;0;3
76;@FialhoAngelica @GuerreiroSocia1 Não se trata de vender a alma ao diabo, mas de pedir que os eleitores votem, respeitando as opções do1o turno. Não se faz a democracia « demonizando » os que pensam diferentemente. Aliança com partidos é outra coisa é não vejo como PT e PSDB se unirem no mesmo governo.;0;3
77;@FialhoAngelica @GuerreiroSocia1 Não defendo votar no PT, defendo a candidatura do Alkmin e no segundo turno quero que se unam os que queiram apoiá-lo contra quem seja do outro partido. Ou você acha que quero que ele perca e não tenha apoios?;1;4
78;"@GuerreiroSocia1 @FialhoAngelica Mostrando o que faríamos antes de fazer(URV); convencendo as pessoas e colocando ordem nas finanças publicas. Objetivo, explicação, persistência até convencer: confiança é tudo. Não há truque nem milagre: há trabalho.";2;8
79;@FialhoAngelica Em inglês porque a rede é mundial. Apenas mandei uma mensagem de luto pela morte de um homem que dirigiu a ONU, foi meu colega no Elders, grupo fundado pelo Mandela, e na Comissão Global de Políticas sobre drogas.;2;72
80;It is with immense sadness that I learned of the passing way of Kofi Annan. He was a peerless peacemaker and indomitable builder of a better world for all. His style of leadership was both quiet and strong, bold and inspiring. No words can account for such a loss.;49;612
81;@kleysso @kleysso Pensei que ele fosse cair da rampa. Levei um susto! Recentemente ele esteve comigo e mostrou que ainda tem agilidade para evitar quedas. Abs;416;1079
82;Tempestade em copo de água. Reafirmo, Alckmin irá ao segundo turno. Voto não se despreza. Mãos à palmatória: não fui claro nas declarações e ficou a suspeita de alianças fora de hora e propósito. Sou contra intolerâncias políticas. Outra coisa é corrupção. Justiça nela!;301;1719
83;Segui o debate dos candidatos ao governo de SP. Tão importante quanto o que eles disseram é o que fizeram, a experiência e a compostura na vida. Não gosto de “pegadinhas” nem de xingamentos. Gosto de atitudes.  Avaliem antes de votar.;54;555
84;Para início de conversa, deixo claro: meu candidato é o Alckmin e vamos ganhar.;183;741
85;Olá! A partir de agora eu estou no Twitter. Vamos conversar.;488;1164
