;tweet;retweet;favoritos
69;Presidente Jair Bolsonaro fala sobre OTAN, China, OMC, combustível, EUA, OCDE, exportações, importações, intercâmbio, base de Alcântara e muito mais. Assista: https://t.co/9y6qaykmey;3672;22626
70;Projeto do Governo encaminhado ao Congresso visa recuperar R$ 4bi a mais por ano endurecendo a cobrança de dívidas. O alvo é o contribuinte com dívida maior do que R$15 mi por mais de um ano. Há grupos que respondem por dívidas de até R$ 40bi. O foco das ações é o grande devedor.;8190;51466
71;@sebastianpinera Saludos de Brasil, Presidente!;412;6539
72;@albertoespina Una satisfacción y un fuerte abrazo, señor Ministro de Defensa!;263;3642
73;Ontem em Santiago lançamos as bases para um novo espaço de diálogo e integração da América do Sul: o PROSUL. Os principais pilares serão a democracia, a prosperidade e o respeito às soberanias, opostos ao avanço totalitário observado no continente nos últimos anos com a UNASUL.;5838;40824
74;- Jair Bolsonaro visita um shopping em Santiago/Chile e é festejado por seus frequentadores: https://t.co/fCNf8gDs4A;9773;56539
75;Peço atenção para importante mensagem da Ministra da Mulher, Família e Direitos Humanos, @DamaresAlves . Trata-se de uma nova ação que combate o desaparecimento de crianças e adolescentes e traz ao seio familiar mais responsabilidade. https://t.co/sZyYq6F9nT;6539;35008
76;Nesta sexta, 22/03, comemora-se o Dia Mundial da Água. Foi lançado na internet uma campanha de conscientização para o combate ao lixo no mar usando a hashtag #cestou.  São atitudes simples que fazem toda a diferença. Excelente final de semana a todos! #cestou #combateaolixonomar https://t.co/hJx780rd2f;3221;21987
77;Brasil é um dos principais caminhos dos investidores chilenos. São mais de US$ 35 Bilhões injetados em nossa economia. Viemos ao Chile visando aprofundar as relações entre nossas nações, além de trazer mais confiança para atrair e expandir ainda mais esses investimentos. https://t.co/d47F48K0eK;5324;34179
78;@alderiex @mcbretas 👏🏻👍🏻;65;1908
79;- Balé Bolshoi de Joinville. - Obrigado, muita emoção. - Jair Bolsonaro. https://t.co/6DkZcXeRRA;7220;59289
80;LIVE DA SEMANA DO PRESIDENTE BOLSONARO já no youtube: Brasil, Eua, Chile e outros assuntos de interesse nacional. https://t.co/lACszkeq0E;2564;16872
81;Hoje (21/03) às 19 horas, entraremos ao vivo pelo Facebook diretamente de Santiago, no Chile, para tratarmos dos últimos acontecimentos a respeito do nosso Brasil!;3815;32912
