;tweet;retweet;favoritos
55;A liberdade de Lula é a liberdade do povo brasileiro. https://t.co/27WFqXSS56;1027;5272
56;Todos por Lula Livre!   O Encontro Nacional Lula Livre reuniu centenas de lideranças de todo o país em defesa da liberdade de Lula em São Paulo. Preso político há quase um ano, Lula enviou uma carta para o encontro. Leia: https://t.co/sleQMmGkvK  Fotos: Ricardo Stuckert https://t.co/nsbs7UnYpc;646;3079
57;“Lula livre representa o reencontro do Brasil consigo mesmo” - @Haddad_Fernando #LiberdadeparaLula;281;1352
58;“A Lava Jato não consegue apontar uma única decisão do Lula nos oito anos da Presidência que contrariasse o interesse público. Condenaram ele por atos indeterminados.” - @Haddad_Fernando #LiberdadeParaLula;622;2334
59;“Lula teve oito anos na Presidência da República e não teve sequer uma fala que desmerecesse alguém. Ele escolheu desafiar a fome, a desigualdade. Pensou no povo brasileiro” - @Haddad_Fernando #LiberdadeParaLula;519;2432
60;“Lula livre nos une porque une aqueles que querem o povo desse país livre, feliz e soberano outra vez” - @ManuelaDavila #LiberdadeParaLula;149;622
61;“A prisão de Lula e perseguição ao PT nunca foi apenas contra Lula e o PT. A prisão de Lula é a prisão do nosso sonho de um Brasil justo. Lula Livre se confunde com um Brasil livre” - @ManuelaDavila #LiberdadeParaLula;310;1090
62;“Sérgio Moro é cúmplice de um governo de milicianos. Assim como Dallagnol, irá pra lata do lixo da História. As máscaras estão caindo” - @GuilhermeBoulos #LiberdadeParaLula;1270;5539
63;“Democracia não combina com preso político. Uma prisão para tirar Lula do processo eleitoral” - @GuilhermeBoulos #LiberdadeparaLula;160;596
64;“A luta pela liberdade do Lula não é uma luta apenas de um partido ou daqueles que concordam com o projeto que o Lula representa. Ela tem que ser uma luta de todos aqueles que defendem a democracia nesse país” - @GuilhermeBoulos #LiberdadeParaLula;184;732
65;“Lula está preso por um artifício jurídico e por uma manipulação do Código Penal. Lula Livre é a bandeira da soberania nacional, dos direitos da classe trabalhadora. As sentenças contra Lula precisam ser anuladas.” - @requiaopmdb #LiberdadeParaLula;590;2003
66;Encontro Nacional Lula Livre hoje em São Paulo #LiberdadeParaLula   Fotos: Ricardo Stuckert https://t.co/nAQZUnqqjx;107;435
67;"RT @inst_lula: #LiberdadeParaLula | Valeska Teixeira, advogada de Lula: ""As denúncias contra Lula não precisam ter prova, ele só precisa se…";220;0
68;"RT @inst_lula: ""O Brasil só será democrático quando @LulaOficial for livre e quando os mandantes do crime bárbaro contra Marielle Franco fo…";566;0
69;"RT @inst_lula: #LiberdadeParaLula | Juliano Medeiros, presidente do PSOL: ""O primeiro araque à democracia do último período foi o golpe de…";83;0
70;"RT @inst_lula: #LiberdadeParaLula | Gleisi Hoffmann, presidenta do PT: ""Quem comete crime são eles. Não Lula. Moro condenou Lula para tirá-…";169;0
71;🚨 AO VIVO: @Haddad_Fernando, @GuilhermeBoulos, @ManuelaDavila, @requiaopmdb reunidos por #LulaLivre no Encontro Nacional Lula Livre  https://t.co/XWFYwW99r1;50;233
72;RT @ptbrasil: #AOVIVO || Assista agora à cobertura do Encontro Nacional Lula Livre:  https://t.co/eS34EZiHLZ 🛑#LiberdadeParaLula;106;0
73;RT @ptbrasil: O chamado de Paulo, presidente do @inst_lula é para todos nós. Todos precisamos contribuir para trazer #LiberdadeParaLula! ht…;131;0
74;"RT @inst_lula: #LiberdadeParaLula | Celso Amorim, ex-chanceler: ""Se Lula estiver Livre, o Brasil é democrático. Se ele estiver preso, o paí…";312;0
75;"RT @inst_lula: #LiberdadeParaLula | Celso Amorim: ""A prisão do presidente Lula impede que o Brasil seja caracterizado como uma democracia"".";244;0
76;RT @inst_lula: Celso Amorim fala agora no Encontro Nacional Lula Livre sobre a importância da liberdade de @LulaOficial para a democracia:…;211;0
77;Leia a íntegra da carta de Lula enviada ao Encontro Lula Livre #LiberdadeParaLula https://t.co/lBNb9lXIal;343;992
78;Tenho fé em Deus e confiança em nossa organização para afirmar com muita certeza: nosso reencontro virá. E o Brasil poderá sonhar novamente com futuro melhor para todos. Muito obrigado, e vamos à luta, companheiros e companheiras. Um abraço do Lula!;548;3280
79;Foi para entregar nossas riquezas e reverter as conquistas sociais. Que os comitês Lula Livre tenham isso bem claro e atuem cada vez mais na sociedade, nas redes, nas escolas e nas ruas.;174;736
80;E só vamos alcançar esses objetivos defendendo os direitos do povo e a soberania nacional, porque foi contra estes valores que fizeram o golpe e interferiram na eleição.;120;525
